First_Name,Infix,Last_Name,Profile_BirthYear,Profile_Gender,Profile_Country,Profile_Language,User_Name,User_Email,User_Role,User_Password,School_Name,School_Code,Group_Grade,Group_Name
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Student,,Eén,2012,f,Netherlands,nld,student1,,STUDENT,1234,Trial School,trial,4,4
Student,,Twee,2012,f,Netherlands,nld,student2,,STUDENT,1234,Trial School,trial,3,3
Student,,Drie,2012,f,Netherlands,nld,student3,,STUDENT,1234,Trial School,trial,3,3
Student,,Vier,2012,f,Netherlands,nld,student4,,STUDENT,1234,Trial School,trial,5,5
Student,,Vijf,2012,f,Netherlands,nld,student5,,STUDENT,1234,Trial School,trial,5,5
Student,,Zes,2012,f,Netherlands,nld,student6,,STUDENT,1234,Trial School,trial,5,5
Student,,Zeven,2012,f,Netherlands,nld,student7,,STUDENT,1234,Trial School,trial,4,4
Student,,Acht,2012,f,Netherlands,nld,student8,,STUDENT,1234,Trial School,trial,4,4
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,3,3
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,4,4
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,5,5
Student,,Eén,2012,f,Netherlands,nld,student1,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Student,,Twee,2012,f,Netherlands,nld,student2,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Student,,Drie,2012,f,Netherlands,nld,student3,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Student,,Vier,2012,f,Netherlands,nld,student4,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Student,,Vijf,2012,f,Netherlands,nld,student5,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Student,,Zes,2012,f,Netherlands,nld,student6,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
Student,,Zeven,2012,f,Netherlands,nld,student7,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Student,,Acht,2012,f,Netherlands,nld,student8,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
Student,,Negen,2012,f,Netherlands,nld,student9,,STUDENT,1234,Trial School,trial,5nfb,5-nfb
